78;SC1701002317;NUNES Diego Andrade;2017;86;7,21;1
79;SC3006255317;Burdeos Silva Barros;2019;94;0,00;1
80;SC3000702317;Charles Caio Alexandre;2017;79;7,15;1
81;SC1702106317;Valim Couto Lima;2017;89;8,24;1
82;SC1601041317;Vitor Vitor;2016;66;6,96;1
83;SC3000095317;Rodrigues Gonçalves Eras;2017;84;9,10;2
84;SC1602071317;Vitor Gonçalves Astolpho Allan;2016;60;6,98;2
85;SC1503995317;Lopes Silva Cristiano Joel;2015;60;5,17;1
86;SC1102273317;Dias Gabriel Amaral Ingrid;2011;0;1,36;2
87;SC3000745317;Nádia Mastrofrancisco Henrique;2017;0;5,13;1
88;SC3005038317;Vinicius Alencar Nunes;2019;83;0,00;2
89;SC1601857317;Caio Misko Aguiar;2016;98;10,00;2
90;SC3002543317;Monteiro Filipe Paganelli;2018;74;7,16;2
91;SC1600354317;Wagner HEIANE Campos Almeida;2016;0;5,50;2
92;SC3000818317;José THIAGO Almeida Zucolotto;2017;66;0,63;2
93;SC3003353317;Nascimento Sant'ana Lima Marcel;2018;82;6,42;2
94;SC3003515317;Aparecido EVELEN Solidade;2018;83;7,14;2
95;SC1702131317;Priole Luiz Nakaema Gustavo;2017;0;4,42;2
96;SC3005429317;Pastore Mangueira Murillo;2019;88;0,00;2
97;SC1701100317;Pedro Souza Amanda;2017;88;7,52;2
98;SC3002519317;Cristiane Gabriel Cicogna;2018;96;8,83;1
99;SC3000656317;Souza Queiroz Jacomelli;2017;79;8,25;1
100;SC1702203317;Lucas Daniel;2017;88;8,40;2
